EM,Status
0.05851875618100166,non-contrastive
0.011288215406239033,non-contrastive
7.154584125146357e-08,non-contrastive
0.09780506789684296,non-contrastive
1.5189286273198377e-07,non-contrastive
0.0725000873208046,non-contrastive
0.13044051826000214,non-contrastive
6.785568302802858e-07,non-contrastive
0.2866728901863098,non-contrastive
5.844618122807788e-10,non-contrastive
1.2484812828006397e-07,non-contrastive
9.54491596871776e-08,non-contrastive
0.09425701946020126,non-contrastive
0.020954679697752,non-contrastive
0.034222688525915146,non-contrastive
0.0413249172270298,non-contrastive
1.4650559023721144e-06,non-contrastive
6.233789804355183e-07,non-contrastive
0.06660335510969162,non-contrastive
0.01734842173755169,non-contrastive
1.2340515809228236e-07,non-contrastive
4.4548303890223906e-07,non-contrastive
0.03886309638619423,non-contrastive
2.0123576405239874e-07,non-contrastive
1.1458739663794404e-06,non-contrastive
1.2425971362972632e-06,non-contrastive
1.8181978464126587,non-contrastive
0.17299936711788177,non-contrastive
0.042859870940446854,non-contrastive
0.09824848175048828,non-contrastive
1.2233370227932028e-07,non-contrastive
0.1357710063457489,non-contrastive
0.05287628248333931,non-contrastive
1.6444704442619695e-07,non-contrastive
0.012620932422578335,non-contrastive
0.8451911211013794,non-contrastive
2.200605848656778e-07,non-contrastive
6.950640951686182e-09,non-contrastive
0.016542065888643265,non-contrastive
8.634874575363938e-07,non-contrastive
0.027033444494009018,non-contrastive
0.010555853135883808,non-contrastive
2.0813827177335043e-06,non-contrastive
0.028634756803512573,non-contrastive
0.13349808752536774,non-contrastive
5.304369210534787e-07,non-contrastive
0.009354962036013603,non-contrastive
0.03176392987370491,non-contrastive
1.5109492323972518e-06,non-contrastive
4.861548177359509e-07,non-contrastive
0.027241816744208336,non-contrastive
7.097580692061456e-07,non-contrastive
1.3760228512182948e-08,non-contrastive
0.009473524056375027,non-contrastive
0.02870432659983635,non-contrastive
0.02241041697561741,non-contrastive
0.015826724469661713,non-contrastive
5.32554889076664e-10,non-contrastive
8.97729108828571e-08,non-contrastive
0.005853351205587387,non-contrastive
7.430776349792723e-07,non-contrastive
0.045464638620615005,non-contrastive
1.559202246426139e-06,non-contrastive
0.02849757857620716,non-contrastive
4.841888667783678e-09,non-contrastive
0.017256611958146095,non-contrastive
8.403523210631647e-09,non-contrastive
0.6345824003219604,non-contrastive
1.2424879969330505e-06,non-contrastive
0.06660252809524536,non-contrastive
3.8890567566340906e-07,non-contrastive
0.007697145454585552,non-contrastive
1.411001306905746e-07,non-contrastive
0.02582063339650631,non-contrastive
0.023167116567492485,non-contrastive
0.11767683923244476,non-contrastive
6.082090067138779e-07,non-contrastive
3.8890567566340906e-07,non-contrastive
1.1560185839698534e-06,non-contrastive
0.043453071266412735,non-contrastive
1.94507902051555e-06,non-contrastive
9.921452601702185e-07,non-contrastive
1.559202246426139e-06,non-contrastive
2.0934518829562876e-07,non-contrastive
6.887335075589363e-07,non-contrastive
4.53950235623779e-07,non-contrastive
4.626402585472533e-07,non-contrastive
1.320120645686984e-06,non-contrastive
1.3337798918655608e-06,non-contrastive
1.254933977179462e-06,non-contrastive
0.1939219981431961,non-contrastive
1.1572094393841326e-07,non-contrastive
7.402453405802589e-08,non-contrastive
1.1358702067809645e-06,non-contrastive
3.301033189018199e-07,non-contrastive
1.2541443084046477e-06,non-contrastive
0.044801753014326096,non-contrastive
1.1458739663794404e-06,non-contrastive
0.033540815114974976,non-contrastive
1.2804046036762884e-06,non-contrastive
2.0524095134533127e-07,non-contrastive
2.1080193164380034e-06,non-contrastive
1.242210885266104e-07,non-contrastive
1.94507902051555e-06,non-contrastive
1.2777593383361818e-06,non-contrastive
4.901297643300495e-07,non-contrastive
0.021618716418743134,non-contrastive
8.728560985105105e-09,non-contrastive
8.537658402474335e-08,non-contrastive
0.022716207429766655,non-contrastive
0.1640242040157318,non-contrastive
3.798000136612245e-07,non-contrastive
2.1080193164380034e-06,non-contrastive
1.5109492323972518e-06,non-contrastive
1.2089546999050071e-06,non-contrastive
1.7199504327436443e-06,non-contrastive
6.836178840785578e-07,non-contrastive
4.399582280711911e-07,non-contrastive
1.8728837858361658e-06,non-contrastive
6.307775493041845e-07,non-contrastive
0.0485064797103405,non-contrastive
0.09069559723138809,non-contrastive
4.225540806146455e-07,non-contrastive
0.11981500685214996,non-contrastive
9.246529089068645e-07,non-contrastive
2.9107431487318536e-07,non-contrastive
5.412342716226703e-07,non-contrastive
1.480101673223544e-06,non-contrastive
1.3238621932032402e-07,non-contrastive
1.9205326680094004e-06,non-contrastive
0.032278161495923996,non-contrastive
1.779567355697509e-06,non-contrastive
1.1458739663794404e-06,non-contrastive
2.1352170733734965e-06,non-contrastive
0.063266322016716,non-contrastive
1.2541443084046477e-06,non-contrastive
6.157212055768468e-07,non-contrastive
1.1458739663794404e-06,non-contrastive
2.220353735538083e-06,non-contrastive
1.2312186754570575e-06,non-contrastive
1.7830041088018334e-06,non-contrastive
0.3044997751712799,non-contrastive
3.3740587923603016e-07,non-contrastive
6.636929583692108e-07,non-contrastive
1.7830041088018334e-06,non-contrastive
1.0925067073230821e-07,non-contrastive
1.7593274606042542e-06,non-contrastive
1.8497555629437556e-06,non-contrastive
6.272637165238848e-07,non-contrastive
1.542845325275266e-06,non-contrastive
0.07118164747953415,non-contrastive
9.495993822383753e-07,non-contrastive
2.220353735538083e-06,non-contrastive
8.201988066502963e-07,non-contrastive
6.887335075589363e-07,non-contrastive
0.05543576925992966,non-contrastive
6.173826250233105e-07,non-contrastive
1.2089546999050071e-06,non-contrastive
1.293437435379019e-06,non-contrastive
2.220353735538083e-06,non-contrastive
6.307775493041845e-07,non-contrastive
5.412342716226703e-07,non-contrastive
2.249973704238073e-06,non-contrastive
2.0813827177335043e-06,non-contrastive
8.201988066502963e-07,non-contrastive
1.575840542500373e-06,non-contrastive
4.685613816945988e-07,non-contrastive
1.779567355697509e-06,non-contrastive
2.0552920432237443e-06,non-contrastive
1.2675716334342724e-06,non-contrastive
2.249973704238073e-06,non-contrastive
1.761592784532695e-06,non-contrastive
0.1156109943985939,non-contrastive
0.05882497504353523,non-contrastive
8.322126632265281e-07,non-contrastive
6.351473871291091e-07,non-contrastive
2.0552920432237443e-06,non-contrastive
1.2541443084046477e-06,non-contrastive
0.10539492219686508,non-contrastive
1.2425971362972632e-06,non-contrastive
1.5267630715243286e-06,non-contrastive
2.1352170733734965e-06,non-contrastive
1.5109492323972518e-06,non-contrastive
1.8001869648287538e-06,non-contrastive
9.035257448886114e-07,non-contrastive
1.779567355697509e-06,non-contrastive
7.261409109560191e-07,non-contrastive
1.1873257790284697e-06,non-contrastive
2.0222796592861414e-07,non-contrastive
1.2658638297580183e-06,non-contrastive
8.201988066502963e-07,non-contrastive
1.5927673757687444e-06,non-contrastive
2.249973704238073e-06,non-contrastive
0.1156109943985939,non-contrastive
2.249973704238073e-06,non-contrastive
2.249973704238073e-06,non-contrastive
1.94507902051555e-06,non-contrastive
1.7593274606042542e-06,non-contrastive
9.253639632333943e-07,non-contrastive
0.005197013728320599,non-contrastive
0.05464310944080353,non-contrastive
0.0012832789216190577,non-contrastive
