EM,Status
0.0225,non-contrastive
0.019999999999999997,non-contrastive
0.04750000000000001,non-contrastive
0.021388888888888888,non-contrastive
0.014166666666666664,non-contrastive
0.012500000000000004,non-contrastive
0.07749999999999999,non-contrastive
0.02638888888888889,non-contrastive
0.019772727272727275,non-contrastive
0.0275,non-contrastive
0.09416666666666666,non-contrastive
0.02,non-contrastive
0.016323529411764705,non-contrastive
0.03861111111111112,non-contrastive
0.0155,non-contrastive
0.027499999999999997,non-contrastive
0.034999999999999996,non-contrastive
0.025500000000000002,non-contrastive
0.028333333333333332,non-contrastive
0.01083333333333333,non-contrastive
0.042499999999999996,non-contrastive
0.009999999999999998,non-contrastive
0.08249999999999999,non-contrastive
0.047499999999999994,non-contrastive
0.0825,non-contrastive
0.017499999999999995,non-contrastive
0.1408333333333333,non-contrastive
0.1175,non-contrastive
0.017499999999999995,non-contrastive
0.017499999999999995,non-contrastive
0.012500000000000006,non-contrastive
0.014999999999999998,non-contrastive
0.009999999999999997,non-contrastive
0.0225,non-contrastive
0.0225,non-contrastive
0.0675,non-contrastive
0.0325,non-contrastive
0.02416666666666667,non-contrastive
0.0375,non-contrastive
0.027500000000000004,non-contrastive
0.017499999999999995,non-contrastive
0.047499999999999994,non-contrastive
0.020833333333333336,non-contrastive
0.012500000000000006,non-contrastive
0.0225,non-contrastive
0.0025000000000000022,non-contrastive
0.065,non-contrastive
0.014444444444444447,non-contrastive
0.018333333333333337,non-contrastive
0.02714285714285715,non-contrastive
0.095,non-contrastive
0.045000000000000005,non-contrastive
0.035,non-contrastive
0.045,non-contrastive
0.11166666666666666,non-contrastive
0.0125,non-contrastive
0.021470588235294123,non-contrastive
0.05611111111111111,non-contrastive
0.016,non-contrastive
0.0049999999999999975,non-contrastive
0.0525,non-contrastive
0.016,non-contrastive
0.040833333333333326,non-contrastive
0.015000000000000003,non-contrastive
0.06,non-contrastive
0.025833333333333333,non-contrastive
0.1,non-contrastive
0.065,non-contrastive
0.1,non-contrastive
0.034999999999999996,non-contrastive
0.15833333333333333,non-contrastive
0.135,non-contrastive
0.034999999999999996,non-contrastive
0.034999999999999996,non-contrastive
0.030000000000000006,non-contrastive
0.0125,non-contrastive
0.0225,non-contrastive
0.0049999999999999975,non-contrastive
0.0049999999999999975,non-contrastive
0.08500000000000002,non-contrastive
0.05,non-contrastive
0.04166666666666667,non-contrastive
0.055,non-contrastive
0.045000000000000005,non-contrastive
0.025,non-contrastive
0.065,non-contrastive
0.035,non-contrastive
0.025000000000000005,non-contrastive
0.0049999999999999975,non-contrastive
0.06249999999999999,non-contrastive
0.011944444444444447,non-contrastive
0.015833333333333335,non-contrastive
0.024642857142857147,non-contrastive
0.0925,non-contrastive
0.04250000000000001,non-contrastive
0.0325,non-contrastive
0.042499999999999996,non-contrastive
0.10916666666666666,non-contrastive
0.009999999999999998,non-contrastive
0.01897058823529412,non-contrastive
0.053611111111111116,non-contrastive
0.0135,non-contrastive
0.0075,non-contrastive
0.049999999999999996,non-contrastive
0.014499999999999999,non-contrastive
0.03833333333333332,non-contrastive
0.0125,non-contrastive
0.057499999999999996,non-contrastive
0.02333333333333333,non-contrastive
0.0975,non-contrastive
0.06249999999999999,non-contrastive
0.0975,non-contrastive
0.032499999999999994,non-contrastive
0.15583333333333332,non-contrastive
0.1325,non-contrastive
0.032499999999999994,non-contrastive
0.032499999999999994,non-contrastive
0.027500000000000004,non-contrastive
0.009999999999999998,non-contrastive
0.019999999999999997,non-contrastive
0.0075,non-contrastive
0.0075,non-contrastive
0.08250000000000002,non-contrastive
0.0475,non-contrastive
0.03916666666666667,non-contrastive
0.0525,non-contrastive
0.0425,non-contrastive
0.0225,non-contrastive
0.06249999999999999,non-contrastive
0.0325,non-contrastive
0.022500000000000003,non-contrastive
0.0075,non-contrastive
0.06333333333333334,non-contrastive
0.04722222222222222,non-contrastive
0.04214285714285714,non-contrastive
0.041666666666666664,non-contrastive
0.022222222222222227,non-contrastive
0.03954545454545454,non-contrastive
0.021111111111111115,non-contrastive
0.05111111111111112,non-contrastive
0.06750000000000002,non-contrastive
0.04954248366013072,non-contrastive
0.015000000000000001,non-contrastive
0.05899999999999999,non-contrastive
0.07,non-contrastive
0.01916666666666667,non-contrastive
0.06700000000000002,non-contrastive
0.041944444444444444,non-contrastive
0.049999999999999996,non-contrastive
0.02222222222222223,non-contrastive
0.04333333333333333,non-contrastive
0.039999999999999994,non-contrastive
0.027222222222222228,non-contrastive
0.059999999999999984,non-contrastive
0.036111111111111115,non-contrastive
0.0938888888888889,non-contrastive
0.07500000000000001,non-contrastive
0.036111111111111115,non-contrastive
0.036111111111111115,non-contrastive
0.0361111111111111,non-contrastive
0.05305555555555556,non-contrastive
0.04305555555555556,non-contrastive
0.06055555555555555,non-contrastive
0.06055555555555555,non-contrastive
0.03500000000000001,non-contrastive
0.02555555555555556,non-contrastive
0.02666666666666667,non-contrastive
0.019444444444444448,non-contrastive
0.03055555555555556,non-contrastive
0.04333333333333333,non-contrastive
0.027222222222222228,non-contrastive
0.030000000000000002,non-contrastive
0.049999999999999996,non-contrastive
0.06055555555555555,non-contrastive
0.021111111111111112,non-contrastive
0.023412698412698413,non-contrastive
0.09444444444444444,non-contrastive
0.04111111111111111,non-contrastive
0.026060606060606062,non-contrastive
0.04611111111111112,non-contrastive
0.11,non-contrastive
0.006666666666666669,non-contrastive
0.013921568627450984,non-contrastive
0.05555555555555556,non-contrastive
0.008333333333333333,non-contrastive
0.017222222222222222,non-contrastive
0.05361111111111111,non-contrastive
0.009999999999999998,non-contrastive
0.03583333333333332,non-contrastive
0.02,non-contrastive
0.06111111111111111,non-contrastive
0.021666666666666667,non-contrastive
0.09833333333333334,non-contrastive
0.0661111111111111,non-contrastive
0.09833333333333333,non-contrastive
0.03888888888888889,non-contrastive
0.15666666666666665,non-contrastive
0.13333333333333333,non-contrastive
0.03888888888888889,non-contrastive
0.03888888888888889,non-contrastive
0.03277777777777779,non-contrastive
0.0175,non-contrastive
0.02638888888888889,non-contrastive
0.019444444444444445,non-contrastive
0.019444444444444445,non-contrastive
0.08500000000000002,non-contrastive
0.05166666666666667,non-contrastive
0.04333333333333334,non-contrastive
0.05555555555555556,non-contrastive
0.04777777777777778,non-contrastive
0.030000000000000002,non-contrastive
0.0661111111111111,non-contrastive
0.036111111111111115,non-contrastive
0.02055555555555556,non-contrastive
0.019444444444444445,non-contrastive
0.019761904761904765,non-contrastive
0.07666666666666666,non-contrastive
0.027777777777777773,non-contrastive
0.027878787878787878,non-contrastive
0.02666666666666666,non-contrastive
0.09333333333333332,non-contrastive
0.022500000000000003,non-contrastive
0.015882352941176472,non-contrastive
0.03777777777777778,non-contrastive
0.01766666666666667,non-contrastive
0.023333333333333334,non-contrastive
0.034166666666666665,non-contrastive
0.024333333333333335,non-contrastive
0.03416666666666666,non-contrastive
0.01333333333333333,non-contrastive
0.041666666666666664,non-contrastive
0.012499999999999997,non-contrastive
0.08166666666666667,non-contrastive
0.04666666666666666,non-contrastive
0.08166666666666667,non-contrastive
0.019999999999999993,non-contrastive
0.13999999999999999,non-contrastive
0.11666666666666667,non-contrastive
0.019999999999999993,non-contrastive
0.019999999999999993,non-contrastive
0.011666666666666669,non-contrastive
0.007500000000000003,non-contrastive
0.009166666666666667,non-contrastive
0.01333333333333334,non-contrastive
0.01333333333333334,non-contrastive
0.06666666666666668,non-contrastive
0.03166666666666666,non-contrastive
0.023333333333333334,non-contrastive
0.03666666666666667,non-contrastive
0.02666666666666667,non-contrastive
0.013333333333333332,non-contrastive
0.04666666666666666,non-contrastive
0.026666666666666665,non-contrastive
0.023333333333333338,non-contrastive
0.01333333333333334,non-contrastive
0.07214285714285713,non-contrastive
0.019920634920634922,non-contrastive
0.013441558441558444,non-contrastive
0.025000000000000005,non-contrastive
0.0888095238095238,non-contrastive
0.025357142857142863,non-contrastive
0.014915966386554621,non-contrastive
0.03325396825396825,non-contrastive
0.016857142857142862,non-contrastive
0.03214285714285715,non-contrastive
0.0325,non-contrastive
0.024857142857142862,non-contrastive
0.020119047619047616,non-contrastive
0.017380952380952386,non-contrastive
0.039999999999999994,non-contrastive
0.008333333333333335,non-contrastive
0.07714285714285714,non-contrastive
0.045,non-contrastive
0.07714285714285714,non-contrastive
0.027857142857142858,non-contrastive
0.13547619047619047,non-contrastive
0.11214285714285714,non-contrastive
0.027857142857142858,non-contrastive
0.027857142857142858,non-contrastive
0.01714285714285715,non-contrastive
0.020357142857142855,non-contrastive
0.01892857142857143,non-contrastive
0.027857142857142858,non-contrastive
0.027857142857142858,non-contrastive
0.06214285714285715,non-contrastive
0.03285714285714286,non-contrastive
0.024523809523809528,non-contrastive
0.03214285714285714,non-contrastive
0.03214285714285715,non-contrastive
0.026428571428571426,non-contrastive
0.045,non-contrastive
0.015952380952380954,non-contrastive
0.015000000000000003,non-contrastive
0.027857142857142858,non-contrastive
0.05444444444444444,non-contrastive
0.07636363636363636,non-contrastive
0.049999999999999996,non-contrastive
0.060000000000000005,non-contrastive
0.0975,non-contrastive
0.08411764705882353,non-contrastive
0.038888888888888876,non-contrastive
0.089,non-contrastive
0.09999999999999999,non-contrastive
0.042499999999999996,non-contrastive
0.097,non-contrastive
0.0825,non-contrastive
0.07999999999999999,non-contrastive
0.034999999999999996,non-contrastive
0.07333333333333333,non-contrastive
0.035,non-contrastive
0.03,non-contrastive
0.08499999999999999,non-contrastive
0.06,non-contrastive
0.06333333333333334,non-contrastive
0.04000000000000001,non-contrastive
0.06,non-contrastive
0.06,non-contrastive
0.06499999999999999,non-contrastive
0.08249999999999999,non-contrastive
0.0725,non-contrastive
0.09,non-contrastive
0.09,non-contrastive
0.009999999999999981,non-contrastive
0.04499999999999999,non-contrastive
0.05333333333333332,non-contrastive
0.039999999999999994,non-contrastive
0.04999999999999999,non-contrastive
0.06999999999999999,non-contrastive
0.03,non-contrastive
0.05999999999999999,non-contrastive
0.07999999999999999,non-contrastive
0.09,non-contrastive
0.023636363636363643,non-contrastive
0.013111111111111113,non-contrastive
0.07111111111111111,non-contrastive
0.04527777777777778,non-contrastive
0.02967320261437908,non-contrastive
0.01555555555555556,non-contrastive
0.036777777777777784,non-contrastive
0.049999999999999996,non-contrastive
0.01972222222222222,non-contrastive
0.04477777777777778,non-contrastive
0.03138888888888888,non-contrastive
0.030000000000000002,non-contrastive
0.02722222222222222,non-contrastive
0.021111111111111112,non-contrastive
0.05722222222222222,non-contrastive
0.03222222222222222,non-contrastive
0.06388888888888888,non-contrastive
0.025555555555555554,non-contrastive
0.11555555555555555,non-contrastive
0.09222222222222223,non-contrastive
0.025555555555555554,non-contrastive
0.025555555555555554,non-contrastive
0.01722222222222222,non-contrastive
0.03361111111111111,non-contrastive
0.024166666666666666,non-contrastive
0.04111111111111112,non-contrastive
0.04111111111111112,non-contrastive
0.046666666666666676,non-contrastive
0.021666666666666667,non-contrastive
0.015555555555555557,non-contrastive
0.01888888888888889,non-contrastive
0.025555555555555554,non-contrastive
0.027777777777777776,non-contrastive
0.03222222222222222,non-contrastive
0.01666666666666667,non-contrastive
0.028888888888888888,non-contrastive
0.04111111111111112,non-contrastive
0.03545454545454546,non-contrastive
0.08393939393939395,non-contrastive
0.030227272727272728,non-contrastive
0.014919786096256679,non-contrastive
0.038888888888888896,non-contrastive
0.021727272727272727,non-contrastive
0.04,non-contrastive
0.042954545454545454,non-contrastive
0.02972727272727273,non-contrastive
0.016287878787878782,non-contrastive
0.023636363636363636,non-contrastive
0.05045454545454545,non-contrastive
0.01537878787878788,non-contrastive
0.0740909090909091,non-contrastive
0.05545454545454545,non-contrastive
0.07318181818181818,non-contrastive
0.03636363636363636,non-contrastive
0.13060606060606061,non-contrastive
0.1090909090909091,non-contrastive
0.03636363636363636,non-contrastive
0.03636363636363636,non-contrastive
0.02863636363636364,non-contrastive
0.02977272727272727,non-contrastive
0.026136363636363638,non-contrastive
0.03727272727272728,non-contrastive
0.03727272727272728,non-contrastive
0.0681818181818182,non-contrastive
0.04409090909090909,non-contrastive
0.035757575757575766,non-contrastive
0.04181818181818182,non-contrastive
0.04272727272727273,non-contrastive
0.03363636363636364,non-contrastive
0.05545454545454545,non-contrastive
0.025454545454545462,non-contrastive
0.02363636363636364,non-contrastive
0.03727272727272728,non-contrastive
0.07,non-contrastive
0.0475,non-contrastive
0.03764705882352941,non-contrastive
0.012444444444444447,non-contrastive
0.03899999999999999,non-contrastive
0.05,non-contrastive
0.007499999999999998,non-contrastive
0.047,non-contrastive
0.0425,non-contrastive
0.03,non-contrastive
0.014999999999999998,non-contrastive
0.024999999999999998,non-contrastive
0.055,non-contrastive
0.019999999999999997,non-contrastive
0.06899999999999999,non-contrastive
0.018000000000000002,non-contrastive
0.11333333333333334,non-contrastive
0.09,non-contrastive
0.018000000000000002,non-contrastive
0.018000000000000002,non-contrastive
0.014999999999999994,non-contrastive
0.0325,non-contrastive
0.022500000000000003,non-contrastive
0.04000000000000001,non-contrastive
0.04000000000000001,non-contrastive
0.040000000000000015,non-contrastive
0.013,non-contrastive
0.008666666666666663,non-contrastive
0.012000000000000002,non-contrastive
0.016,non-contrastive
0.023999999999999997,non-contrastive
0.019999999999999997,non-contrastive
0.011333333333333332,non-contrastive
0.029999999999999995,non-contrastive
0.04000000000000001,non-contrastive
0.11416666666666667,non-contrastive
0.09607843137254901,non-contrastive
0.06444444444444446,non-contrastive
0.10566666666666666,non-contrastive
0.11666666666666667,non-contrastive
0.06916666666666667,non-contrastive
0.11366666666666667,non-contrastive
0.07416666666666667,non-contrastive
0.09666666666666668,non-contrastive
0.06833333333333333,non-contrastive
0.09,non-contrastive
0.031666666666666676,non-contrastive
0.06666666666666667,non-contrastive
0.03166666666666666,non-contrastive
0.08666666666666667,non-contrastive
0.04999999999999999,non-contrastive
0.060000000000000005,non-contrastive
0.08666666666666667,non-contrastive
0.08666666666666667,non-contrastive
0.08499999999999999,non-contrastive
0.09916666666666667,non-contrastive
0.08916666666666666,non-contrastive
0.10666666666666667,non-contrastive
0.10666666666666667,non-contrastive
0.060000000000000005,non-contrastive
0.075,non-contrastive
0.07666666666666667,non-contrastive
0.06666666666666667,non-contrastive
0.08,non-contrastive
0.09333333333333334,non-contrastive
0.06666666666666667,non-contrastive
0.07666666666666667,non-contrastive
0.09666666666666666,non-contrastive
0.10666666666666667,non-contrastive
0.018382352941176475,non-contrastive
0.058611111111111114,non-contrastive
0.01,non-contrastive
0.015,non-contrastive
0.05499999999999999,non-contrastive
0.009999999999999998,non-contrastive
0.039999999999999994,non-contrastive
0.0175,non-contrastive
0.06249999999999999,non-contrastive
0.02416666666666667,non-contrastive
0.1025,non-contrastive
0.06749999999999999,non-contrastive
0.1025,non-contrastive
0.03749999999999999,non-contrastive
0.16083333333333333,non-contrastive
0.1375,non-contrastive
0.03749999999999999,non-contrastive
0.03749999999999999,non-contrastive
0.0325,non-contrastive
0.015,non-contrastive
0.025,non-contrastive
0.017499999999999998,non-contrastive
0.017499999999999998,non-contrastive
0.08750000000000002,non-contrastive
0.0525,non-contrastive
0.044166666666666674,non-contrastive
0.057499999999999996,non-contrastive
0.0475,non-contrastive
0.0275,non-contrastive
0.06749999999999999,non-contrastive
0.037500000000000006,non-contrastive
0.0175,non-contrastive
0.017499999999999998,non-contrastive
0.04522875816993464,non-contrastive
0.012529411764705883,non-contrastive
0.02647058823529412,non-contrastive
0.04514705882352941,non-contrastive
0.018411764705882357,non-contrastive
0.02367647058823529,non-contrastive
0.016666666666666666,non-contrastive
0.052647058823529415,non-contrastive
0.013480392156862742,non-contrastive
0.08441176470588235,non-contrastive
0.05764705882352941,non-contrastive
0.08441176470588235,non-contrastive
0.03352941176470588,non-contrastive
0.14274509803921567,non-contrastive
0.11941176470588237,non-contrastive
0.03352941176470588,non-contrastive
0.03352941176470588,non-contrastive
0.026176470588235298,non-contrastive
0.015147058823529413,non-contrastive
0.02102941176470588,non-contrastive
0.022352941176470593,non-contrastive
0.022352941176470593,non-contrastive
0.07529411764705884,non-contrastive
0.04382352941176471,non-contrastive
